draw_date,n1,n2,n3,n4,n5,powerball,multiplier
2020-11-17,8,13,35,46,68,16,3
2020-11-20,26,33,45,61,68,17,3
2020-11-24,9,15,34,61,64,6,2
2020-11-27,4,10,27,35,58,10,2
2020-12-01,7,33,53,61,65,14,2
2020-12-04,3,19,24,44,50,8,3
2020-12-08,15,19,33,39,68,25,3
2020-12-11,19,31,37,55,67,25,4
2020-12-15,1,10,18,20,46,15,2
2020-12-18,7,15,25,51,60,5,3
2020-12-22,29,53,56,59,67,21,2
2020-12-25,17,23,36,69,70,19,2
2020-12-29,1,31,35,48,62,19,3
2021-01-01,8,24,53,68,69,7,5
2021-01-05,20,43,51,55,57,4,2
2021-01-08,3,6,16,18,58,11,2
2021-01-12,12,14,26,28,33,9,2
2021-01-15,3,11,12,38,43,15,4
2021-01-19,10,19,26,28,50,16,2
2021-01-22,4,26,42,50,60,24,2
2021-01-26,29,49,56,66,67,24,3
2021-01-29,4,44,58,59,70,3,3
2021-02-02,13,37,38,40,67,10,2
2021-02-05,14,17,28,29,44,2,4
2021-02-09,7,18,21,31,40,9,4
2021-02-12,5,14,24,25,27,14,3
2021-02-16,1,36,44,54,66,10,3
2021-02-19,27,32,47,50,53,4,4
2021-02-23,5,7,9,20,57,15,3
2021-02-26,11,15,37,62,64,5,2
2021-03-02,4,8,13,34,64,18,2
2021-03-05,10,11,17,27,54,20,2
2021-03-09,4,33,46,58,65,13,2
2021-03-12,2,24,25,31,65,18,4
2021-03-16,10,41,46,52,69,8,2
2021-03-19,9,14,40,58,69,8,3
2021-03-23,12,23,35,38,55,11,2
2021-03-26,4,25,37,46,67,15,3
2021-03-30,11,37,47,53,56,15,3
2021-04-02,10,42,48,53,62,19,2
2021-04-06,1,19,20,32,42,17,3
2021-04-09,22,26,27,58,66,12,2
2021-04-13,10,15,19,45,68,9,4
2021-04-16,17,27,28,50,55,25,4
2021-04-20,6,23,43,49,52,5,3
2021-04-23,4,28,29,30,60,25,3
2021-04-27,15,22,30,41,42,25,4
2021-04-30,8,19,26,48,49,5,3
2021-05-04,4,27,32,57,63,22,3
2021-05-07,5,10,19,21,50,10,4
2021-05-11,7,8,20,36,39,22,3
2021-05-14,3,18,41,44,68,3,2
2021-05-18,3,5,56,61,66,4,2
2021-05-21,6,9,17,18,48,8,3
2021-05-25,14,21,31,34,54,11,3
2021-05-28,10,14,20,47,70,15,2
2021-06-01,7,11,33,58,63,23,2
2021-06-04,4,30,34,41,64,8,3
2021-06-08,9,22,39,41,54,19,3
2021-06-11,4,43,56,63,68,13,4
2021-06-15,18,22,27,38,52,11,4
2021-06-18,14,36,44,46,53,18,2
2021-06-22,1,26,48,51,59,25,4
2021-06-25,17,20,42,45,65,12,4
2021-06-29,7,38,50,52,69,21,3
2021-07-02,8,31,32,34,45,19,2
2021-07-06,18,47,63,68,69,14,3
2021-07-09,6,37,39,41,46,17,2
2021-07-13,3,10,17,26,55,24,2
2021-07-16,24,25,47,52,57,24,4
2021-07-20,10,26,30,52,57,10,2
2021-07-23,13,17,19,40,69,17,3
2021-07-27,2,35,36,54,64,11,3
2021-07-30,19,26,31,52,68,10,3
2021-08-03,1,9,17,27,34,24,2
2021-08-06,9,18,40,46,69,9,2
2021-08-10,29,45,50,59,62,12,2
2021-08-13,17,21,35,40,53,11,2
2021-08-17,3,6,16,38,56,24,3
2021-08-20,41,43,51,57,70,1,2
2021-08-24,17,18,26,52,67,19,2
2021-08-27,1,10,44,47,56,23,3
2021-08-31,8,14,31,58,68,15,3
2021-09-03,7,10,12,61,65,3,2
